SpellingScore,WritingSampleScore,SentenceFluencyScore,Motivation1,Motivation2,Motivation3,Motivation4
104,97,94,4,4,4,4
95,92,88,4,4,5,5
99,98,101,1,3,3,2
100,103,101,2,3,4,4
98,106,97,3,1,2,3
106,101,99,3,3,4,2
106,118,98,3,3,2,3
92,107,115,3,3,3,3
103,96,98,4,3,3,3
105,103,101,3,3,3,3
95,104,95,2,3,2,1
104,108,111,1,1,2,3
91,96,94,2,1,3,1
110,103,96,3,4,3,4
100,98,103,2,3,3,3
85,99,106,1,1,1,1
91,102,96,1,1,1,1
120,107,114,5,5,5,4
106,103,98,3,2,3,1
90,103,101,1,3,1,1
112,110,98,3,3,3,3
101,103,95,1,2,1,3
100,102,102,4,3,4,3
92,94,103,1,2,3,2
107,94,91,2,3,3,4
103,100,92,3,2,2,2
85,97,104,2,2,1,3
80,99,98,1,1,1,1
94,105,104,2,2,3,3
96,101,102,4,4,4,4
114,107,99,4,4,4,5
105,106,103,2,2,3,3
108,98,98,4,4,5,3
98,105,103,5,2,3,2
95,101,106,2,1,3,2
100,102,109,2,2,2,3
113,109,101,3,4,5,4
95,110,89,1,2,2,2
96,97,101,1,2,2,4
94,106,102,3,3,3,3
117,108,112,3,3,3,3
98,104,102,4,4,3,5
101,105,112,4,4,3,3
108,100,107,2,3,4,2
108,105,107,4,3,4,4
103,90,105,3,2,1,1
100,109,102,3,3,3,4
97,120,106,3,1,2,3
96,98,103,1,2,1,1
104,100,99,3,2,3,2
100,109,118,3,1,3,3
97,112,104,2,3,1,3
96,102,98,1,2,2,3
106,97,97,1,2,2,3
98,102,93,2,2,2,3
105,110,120,3,5,4,4
107,107,107,4,4,4,3
94,98,99,2,1,1,2
83,99,101,2,1,3,1
104,91,108,2,3,3,3
100,111,102,3,5,4,5
101,103,94,3,2,2,2
102,109,104,4,5,5,4
100,112,102,5,5,5,4
96,110,112,3,3,3,2
105,104,103,2,2,3,2
99,111,101,3,4,3,1
102,114,99,4,4,4,5
108,104,112,4,4,4,4
99,102,120,3,3,2,5
100,96,102,2,2,2,5
91,97,98,2,1,3,1
95,117,103,4,4,3,2
102,98,114,2,2,2,4
98,110,106,3,2,3,2
107,104,113,4,4,4,5
105,98,92,2,1,2,2
108,99,106,4,2,4,2
104,110,89,3,4,3,3
104,95,112,3,2,3,4
99,100,105,3,3,4,3
103,105,109,2,2,1,3
102,93,101,4,5,4,4
90,100,93,3,2,3,2
101,80,101,1,1,1,2
102,103,111,3,3,4,3
85,99,107,2,1,1,1
117,104,110,5,4,3,3
100,99,102,4,4,5,5
98,95,99,3,3,4,2
107,116,102,5,5,5,3
99,98,96,1,1,1,1
99,99,94,1,1,3,2
98,104,113,3,4,3,1
97,89,92,1,1,2,1
